Port_IDs,Total_PnL,Total_ROI,Sharpe_Ratio,Max_Drawdown,Win_Rate,Total_Positions,Win_Positions,Total_ROI_Score,Total_PnL_Score,Sharpe_Ratio_Score,Win_Rate_Score,Max_Drawdown_Score,Rank_Score
4008537296438699777,2330.846,447.3463243598188,0.10757234012134224,-inf,0.47,535,249,134.20389730794565,582.7115,0.02151446802426845,0.0705,inf,inf
3944239644144231424,-1187.891,-61.236226682834626,-0.023731314255788376,-inf,0.26,858,227,-18.370868004850387,-296.97275,-0.004746262851157676,0.039,inf,inf
3951723256343550465,5260.023,4.690816115355597,0.05837825364318928,-inf,0.35,3447,1215,1.407244834606679,1315.00575,0.011675650728637856,0.0525,inf,inf
3962024093501274881,9314.494,1.1662146315251679e-05,0.07406717883080471,-inf,0.26,1273,337,3.4986438945755034e-06,2328.6235,0.014813435766160944,0.039,inf,inf
3937714876784951296,1117.531,3.771668600533261,0.016314451097396952,-inf,0.39,511,201,1.1315005801599782,279.38275,0.0032628902194793905,0.058499999999999996,inf,inf
3975392755164484097,2330.27,1.0732794082219563,0.09520516173523122,-inf,0.28,1829,512,0.3219838224665869,582.5675,0.019041032347046245,0.042,inf,inf
3991414786174551297,1787.988,158.3185533570087,0.12201028159519588,-inf,0.3,311,93,47.49556600710261,446.997,0.024402056319039175,0.045,inf,inf
4000877324693233921,-836.101,-0.013724109967275029,-0.002327244153693271,-inf,0.45,6050,2714,-0.004117232990182508,-209.02525,-0.00046544883073865417,0.0675,inf,inf
4033614723417828608,4602.24,-21.428329265255684,0.10878629417741874,-inf,0.22,516,115,-6.428498779576705,1150.56,0.02175725883548375,0.033,inf,inf
4020204877254599680,71998.856,95.03583536199106,0.060748033614844925,-8.028348113683958,0.33,6050,1993,28.510750608597316,17999.714,0.012149606722968985,0.0495,0.8028348113683959,18029.08923502669
3999240873283311617,42574.474,11.035554085277466,0.22750533430745368,-0.052816340027790364,0.52,4522,2366,3.31066622558324,10643.6185,0.04550106686149074,0.078,0.005281634002779037,10647.057948926447
4021669203289716224,26427.332,-2.7411958462931816,0.06825074237072257,-0.16156844065773085,0.31,1682,528,-0.8223587538879544,6606.833,0.013650148474144514,0.0465,0.016156844065773085,6606.0869482386515
3960874214179953664,19567.471,2.4426011599321824,0.1629478150253227,-34.536210321481484,0.52,2391,1233,0.7327803479796547,4891.86775,0.03258956300506454,0.078,3.4536210321481486,4896.164740943133
3907081197088384000,18015.997,30.85001610213437,0.2227292925910845,-0.2429079623918087,0.61,4137,2540,9.25500483064031,4503.99925,0.04454585851821691,0.0915,0.024290796239180873,4513.414591485398
4028701921959171840,17601.401,8.258852299127764e-06,0.27572387832983053,-0.045176720122327436,0.54,687,373,2.477655689738329e-06,4400.35025,0.05514477566596611,0.081,0.004517672012232744,4400.490914925334
3956076827719377409,16790.012,66.49324835539086,0.09952801745500052,-0.24614293318857097,0.52,3916,2019,19.947974506617257,4197.503,0.019905603491000106,0.078,0.0246142933188571,4217.5734944034275
3986814617275053313,16337.462,14.277596212180228,0.32978656861679667,-0.00014890821565723293,0.78,3554,2780,4.283278863654068,4084.3655,0.06595731372335933,0.11699999999999999,1.4890821565723294e-05,4088.831751068199
4022565861939831809,14197.577,0.024565718500652856,0.29960236775731863,-0.10895996791550236,0.53,705,372,0.0073697155501958565,3549.39425,0.05992047355146373,0.0795,0.010895996791550237,3549.551936185893
3788465932399412480,13960.966,0.3578641814308722,0.15291214877945766,-0.2242625568921689,0.45,3069,1369,0.10735925442926166,3490.2415,0.030582429755891535,0.0675,0.02242625568921689,3490.4693679398747
3987739404272887297,12464.606,78.0992360756824,0.049882502411106325,-0.3105022736974293,0.23,6050,1381,23.429770822704718,3116.1515,0.009976500482221266,0.0345,0.03105022736974293,3139.6567975505563
4008711265867865600,11298.706,6.596643811984552e-05,0.2662895922745807,-0.052697606290058985,0.42,394,166,1.9789931435953655e-05,2824.6765,0.05325791845491615,0.063,0.005269760629005899,2824.7980474690153
3936410995029308417,10681.514,3.2838245324920934e-05,0.29898370047919265,0.0,0.3,20,6,9.85147359747628e-06,2670.3785,0.05979674009583853,0.045,-0.0,2670.4833065915695
3931992636670880512,10374.965,9.165896225020775,0.050796275472005006,-0.424280098072751,0.4,6050,2430,2.7497688675062326,2593.74125,0.010159255094401002,0.06,0.042428009807275104,2596.603606132408
3939318616482048768,9775.389,0.00020634925081723437,0.2038294609803751,-0.01902892588221351,0.37,315,118,6.190477524517031e-05,2443.84725,0.04076589219607502,0.0555,0.001902892588221351,2443.9454806895587
3998572645139652353,9603.585,1.5975565848054412e-05,0.2622908622566452,-0.08120905576797817,0.36,266,95,4.7926697544163235e-06,2400.89625,0.05245817245132905,0.054,0.008120905576797817,2401.0108338706978
4031493134338259457,9082.698,3.528213258919192e-05,0.1561139933963429,-0.9598974471669379,0.36,1889,683,1.0584639776757577e-05,2270.6745,0.031222798679268582,0.054,0.0959897447166938,2270.855723128036
3944088772635000577,7581.492,4.991068133347398,0.29914107625654696,-0.013092953369497683,0.46,6063,2774,1.4973204400042195,1895.373,0.059828215251309394,0.069,0.0013092953369497685,1897.0004579505926
4037121179310444801,7237.922,3.140229905307297e-05,0.10910167793369141,-0.1565518916107883,0.48,1595,772,9.42068971592189e-06,1809.4805,0.021820335586738283,0.072,0.01565518916107883,1809.5899849454374
3886752488982104320,7195.178,18.37984533102976,0.2217135876666527,-0.03057094725279152,0.75,1249,931,5.513953599308928,1798.7945,0.04434271753333054,0.11249999999999999,0.0030570947252791525,1804.4683534115675
