Port_ID,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,Score
4020204877254599680,0.6335826222102402,71998.85595307,0.060748033614844925,21338.051187779958,32.94214876033058,1993,6050,14802.502749369927
3999240873283311617,1.093290838097633,42574.473678790004,0.22750533430745368,300.81384848999915,52.32198142414861,2366,4522,10604.102028884707
4021669203289716224,0.8121235348786193,26427.33159178,0.06825074237072257,2537.8666286099924,31.391200951248514,528,1682,6229.549310957564
3960874214179953664,0.45918101151096397,19567.47128569,0.1629478150253227,2233.99999999,51.568381430363864,1233,2391,4562.095003433495
4028701921959171840,0.7985926538828008,17601.40139824,0.27572387832983053,585.6775999300007,54.29403202328966,373,687,4318.22283534466
3907081197088384000,2.1914685580574753,18015.997370259996,0.2227292925910845,2060.707122380003,61.39714769156394,2540,4137,4201.73497540309
3956076827719377409,2.01428711787532,16790.01223802,0.09952801745500052,635.0500145299998,51.55771195097037,2019,3916,4108.025520259451
3986814617275053313,1.685996824265469,16337.46188064,0.32978656861679667,2.3819474699994316,78.22172200337648,2780,3554,4092.4021066008404
4022565861939831809,0.4692666550330663,14197.577075890002,0.29960236775731863,385.0755536900001,52.76595744680851,372,705,3497.1102321337426
3788465932399412480,1.6536697373780231,13960.966456670001,0.15291214877945766,1772.2194397900003,44.607363962202676,1369,3069,3229.39611794619
4008711265867865600,0.6183868005027596,11298.706389769999,0.2662895922745807,509.5499999999993,42.13197969543147,166,394,2752.696069370649
3936410995029308417,5.955681070532479,10681.514000000001,0.29898370047919265,0.0,30.0,6,20,2675.225001061256
3987739404272887297,1.1166948078021894,12464.6063154,0.049882502411106325,3386.656093979994,22.826446280991735,1381,6050,2610.7807943239227
3939318616482048768,1.938380514290915,9775.389109840002,0.2038294609803751,87.00335997999991,37.46031746031746,118,315,2435.1650852555154
3998572645139652353,0.9404644249995647,9603.58535988,0.2622908622566452,214.71515507000004,35.714285714285715,95,266,2372.5950927808794
3931992636670880512,1.1133624280866319,10374.96528998,0.050796275472005006,1651.1316999599999,40.16528925619834,2430,6050,2350.4322644101403
3962024093501274881,0.2877959317625179,9314.494060179999,0.07406717883080471,1828.4947021299995,26.472898664571876,337,1273,2057.0977518072523
3944088772635000577,1.3902423589557498,7581.491983399999,0.29914107625654696,97.2037250300009,45.75292759360053,2774,6063,1885.8446307777979
3886752488982104320,1.803822465204671,7195.178324640001,0.2217135876666527,38.20810000000006,74.5396317053643,931,1249,1801.1028187876311
4031493134338259457,0.23200797259259615,9082.698287860003,0.1561139933963429,3682.1097992,36.156696664902064,683,1889,1722.0745969419477
3925368433214965504,0.7356040718528244,6789.436738630001,0.2748734037095989,162.05753631999778,33.33333333333333,486,1458,1676.6595434451317
3910983669796782848,1.4302418209834944,6761.648048249999,0.33103886186548676,201.72342223000032,42.8125,274,640,1664.9300290466676
4037121179310444801,0.25974300162670905,7237.92173826,0.10910167793369141,1198.3317800000032,48.40125391849529,772,1595,1634.6705361929237
4026179081117855488,0.8477311750447865,6796.18836,0.13958624744632814,1824.6434998900004,23.3502538071066,46,197,1427.9678269992135
3999845462424248576,1.7346599461112424,5843.152606810001,0.2259346608054272,325.7692295799984,43.490054249547924,1443,3318,1416.8373576064498
3953764659057081857,0.7209621566667568,6048.86608919,0.12403094507422269,957.0232210199965,30.874785591766724,180,583,1371.9916125396921
4031173908980084736,1.1550335162156289,5360.425729910001,0.29563686687889357,80.89999999999964,37.77777777777778,85,225,1332.1548476835185
3976088733682659585,0.7954008292253404,5901.15009982,0.14072490358441417,1074.721004,43.56787491115849,1226,2814,1318.7029270756004
3818233536529843712,1.45288425003024,6419.607907139999,0.15428219254946454,2036.5375697500006,33.919774806474315,482,1421,1303.2800405166663
3978449781300392193,0.5023403298026339,5888.6560088,0.12184255969003403,1201.615229999999,43.87755102040816,344,784,1296.4845434129197
4011626972687000576,0.5473790248137371,5483.14982082,0.07725671532102782,1133.2432568999998,38.408190224570674,2326,6056,1204.8214507429652
3951723256343550465,0.40409780801076245,5260.022863890001,0.05837825364318928,1073.1449283800025,35.24804177545692,1215,3447,1157.6916858861775
4031181049693676544,1.6489928857010596,4545.2423384,0.21445398662938117,22.344964960000084,24.17218543046358,73,302,1135.9136470620829
3953433416230728705,0.8135910248077227,4924.761779980001,0.1671040266501724,675.6869999,20.872865275142317,110,527,1132.2021796502866
4030395639953224449,1.0310647503238783,4413.76154738,0.16783749880260376,57.609999730000254,17.479674796747968,86,492,1096.8897412900321
4034359562055356161,0.40297189318853865,5284.65441593,0.15741866816692546,1659.353950150005,48.93617021276596,391,799,1077.3065037828658
4017263283405469185,0.22634677954698415,7141.36641939,0.030090117918076687,4788.433923359992,33.6198347107438,2034,6050,1070.5124218720234
4033614723417828608,0.5716911096851005,4602.2398164900005,0.10878629417741874,647.2944777400007,22.28682170542636,115,516,1055.887729223784
3977078013600312321,0.37097965545952966,4622.351437599999,0.08962888162540021,753.4702992500004,32.64248704663213,1638,5018,1045.9607828901258
3966142151544441601,0.6095471660974604,4883.80077594,0.0524887643645033,1661.4546297300017,53.20910973084886,1028,1932,977.2462724012867
4013978721149559808,6.2387827844744885,3778.8782239800003,0.16218865991701376,0.0,20.74829931972789,61,294,948.6984584942985
4037282461943784704,0.5061989218892267,4760.365619499999,0.11982504149488445,1680.7088622099998,26.984126984126984,136,504,940.8593129267783
4029749871687083265,6.548711229442733,3662.13654822,0.3538772369515272,0.0,42.873831775700936,367,856,921.8569090487932
4002413037164645377,4.965881247172493,3686.9697606,0.1257825271320603,38.33630992999997,18.57638888888889,107,576,919.364553428967
3994879592543698688,1.6705308671254002,3658.7650624,0.11938359825784213,175.48129108000091,55.283307810107196,361,653,894.4224386987996
3932103299427844097,0.4364995508487181,3860.3097053499996,0.0833221058818555,669.4568359399998,30.050212437234453,778,2589,867.8115364766544
3996598927198996481,2.1659722487093354,3509.04461888,0.11340118610445403,160.68430589999957,36.8282600526118,980,2661,857.5138067520951
4030626027667524352,0.31538199963512065,3796.34803991,0.21044591322903483,670.8059999999987,49.78540772532189,116,233,853.5813545325686
4016164457907769600,0.25117495434876536,3742.6873197200002,0.15754416905045315,647.83756662,43.53932584269663,310,712,842.9569888413844
4030555430101054209,1.1822998713497836,3358.38032001,0.3240861720995911,0.0,26.446280991735538,32,121,842.6592152974985
4029299190618134272,1.255664566812903,3354.1458763700007,0.2385430453330259,0.53788037,31.30434782608696,72,230,842.0106297987194
3988071780777702657,0.71550424488449,3424.4699222,0.03734100763871833,135.64724225000055,37.316561844863735,890,2385,839.7241698719795
3878631538480067329,0.8236074610415506,3921.2330411600005,0.1560663569165325,1039.8421924400013,50.337958022056206,1415,2811,829.6440227359013
4036548677626662656,1.1294624803889226,3296.87667987,0.24267706977780504,0.0,46.25850340136054,68,147,829.2323944657081
4037511388357114368,0.8149741304131377,3552.34051692,0.0881238849981656,635.45101241,43.33683105981112,413,953,797.3632774906047
4023697881318718465,6.841594107327764,3151.95061998,0.2758701284486444,0.0,8.571428571428571,6,70,790.952450110031
4017323550554338817,3.9559504475150082,3134.7351025000003,0.2132083276743787,0.0,50.091743119266056,273,545,789.922376736716
4031451549482615297,1.9218649755054513,3124.54121527,0.22530212904555794,3.9002427300000004,38.59649122807017,44,114,785.0315364492677
3879821005658659073,4.43110310777003,4268.00656095,0.13094012831820384,1961.0298660699996,33.142201834862384,289,872,777.5168994684809
3993014919980212480,0.9230826886958383,3078.6630103899997,0.14095234412741464,60.840000000000146,47.62589928057554,331,695,765.6074578009918
3942630767220672256,1.0773639747472605,6611.89848042,0.06797969001775618,6083.72668798,38.29744415375327,1903,4969,744.5821664538032
4017110277719148289,0.9469238906518586,2899.93302141,0.39402569727778675,0.0,56.74603174603175,143,252,731.0207408337542
3891020560590657281,3.9088818055244614,2856.30056379,0.4324770259531958,0.0,64.75972540045767,283,437,721.8102734343937
4033639786957934336,1.411743481866999,2848.14185731,0.21441244620886019,0.0,16.778523489932887,25,149,714.179722210295
4029422834086627072,2.62979269623695,2799.9025498399997,0.5116182899882394,0.0,37.254901960784316,38,102,704.5923891229471
